route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11638,1,21,WOODBERRY - CANTON CROSSING,,3,,879A8C,FFFFFF
11639,1,22,MONDAWMIN - BAYVIEW,,3,,879A8C,FFFFFF
11640,1,26,BROOKLYN - MONDAWMIN,,3,,879A8C,FFFFFF
11641,1,28,MORAVIA - ROGERS AVE METRO,,3,,879A8C,FFFFFF
11642,1,29,MONDAWMIN - BROOKLYN,,3,,879A8C,FFFFFF
11643,1,30,ROGERS AVE - HOLLANDER RIDGE,,3,,879A8C,FFFFFF
11644,1,31,SINAI HOSPITAL - SECURITY SQ MALL,,3,,879A8C,FFFFFF
11645,1,33,MT WASHINGTON LIGHT RAIL - OVERLEA,,3,,879A8C,FFFFFF
11646,1,34,FALLS RD/GREENSPRING- WESTVIEW MALL,,3,,879A8C,FFFFFF
11647,1,36,TOWSON TOWN CENTER - FOX RIDGE,,3,,879A8C,FFFFFF
11648,1,37,OLD COURT - UMBC,,3,,879A8C,FFFFFF
11649,1,38,WESTGATE - MEDFIELD,,3,,879A8C,FFFFFF
11650,1,51,TOWSON - DOWNTOWN,,3,,879A8C,FFFFFF
11651,1,52,GREENMOUNT NORTH - STELLA MARIS,,3,,879A8C,FFFFFF
11652,1,53,STATE CENTER - TOWSON,,3,,879A8C,FFFFFF
11653,1,54,STATE CENTER - CARNEY/HILLENDALE,,3,,879A8C,FFFFFF
11654,1,56,DOWNTOWN - WHITE MARSH,,3,,879A8C,FFFFFF
11655,1,57,BELAIR-EDISON CIRCULATOR,,3,,879A8C,FFFFFF
11656,1,59,MORAVIA - WHISPERING WOODS,,3,,879A8C,FFFFFF
11657,1,62,CCBC ESSEX - TURNER STATION,,3,,879A8C,FFFFFF
11658,1,63,DOWNTOWN/BAYVIEW-TRADEPOINT ATLANTIC,,3,,879A8C,FFFFFF
11659,1,65,DOWNTOWN - DUNDALK,,3,,879A8C,FFFFFF
11660,1,67,DOWNTOWN - MARLEY NECK,,3,,879A8C,FFFFFF
11661,1,69,PATAPSCO STATION - JUMPERS HOLE,,3,,879A8C,FFFFFF
11662,1,70,PATAPSCO STATION - ANNAPOLIS,,3,,879A8C,FFFFFF
11663,1,71,DOWNTOWN - PATAPSCO LIGHT RAIL,,3,,879A8C,FFFFFF
